Time,x,y,z,Speedbreaker,Pothole
45.438,-1.33,1.88,9.04,0,0
45.503,-1.42,1.84,8.92,0,0
45.571,-1.46,1.8,9.08,0,0
45.631,-1.46,1.73,9.04,0,0
45.705,-1.38,1.88,9,0,0
45.775,-1.46,1.88,8.85,0,0
45.841,-1.38,1.69,9,0,0
45.911,-1.27,1.76,9.08,0,0
45.981,-1.42,1.8,9,0,0
46.052,-1.54,1.84,8.96,0,0
46.121,-1.42,1.84,9.04,0,0
46.194,-1.27,1.8,9.04,0,0
46.261,-1.31,1.8,9,0,0
46.331,-1.5,1.84,9,0,0
46.401,-1.5,1.8,9.11,0,0
46.467,-1.14,1.76,9.04,0,0
46.534,-1.18,2.07,9,0,0
46.599,-1.54,1.8,8.96,0,0
46.662,-1.5,1.73,9.11,0,0
46.731,-1.23,1.95,9.34,0,0
46.794,-0.57,2.56,8.92,0,0
46.857,-0.93,1.8,9.72,0,0
46.919,0.11,2.96,7.44,0,0
46.983,-0.23,2.53,9.38,0,0
47.053,1.46,4.75,8.43,0,0
47.121,0.84,2.91,7.4,0,0
47.191,-1.08,2.18,10.88,0,0
47.261,-1.08,0.95,9.66,0,0
47.331,-0.08,0.89,9.62,0,0
47.4,-0.95,0.53,9.08,0,0
47.463,-1.46,0.31,9.49,0,0
47.534,-1.73,0.57,8.88,0,0
47.597,-1.46,1.14,9.11,0,0
47.659,-0.57,1.08,8.88,0,0
47.726,-0.19,0.93,9.28,0,0
47.793,-0.5,0.93,9.28,0,0
47.861,-0.34,0.95,8.96,0,0
47.931,-0.31,0.95,9.38,0,0
48.001,-0.27,0.95,9.23,0,0
48.072,-0.38,0.89,9.15,0,0
48.141,-0.34,0.99,9.23,0,0
48.22,-0.34,0.95,9.23,0,0
48.292,-0.31,0.93,9.15,0,0
48.363,-0.38,0.95,9.23,0,0
48.424,-0.31,0.93,9.19,0,0
48.491,-0.31,0.95,9.23,0,0
48.557,-0.19,0.95,9.23,0,0
48.623,-0.23,0.93,9.28,0,0
48.691,-0.42,0.93,9.15,0,0
48.756,-0.69,0.95,9.19,0,0
48.817,-0.27,0.93,9.19,0,0
48.881,-0.84,0.93,9.15,0,0
48.951,0.27,-0.23,9.47,0,0
49.017,-1.57,1.76,9.53,0,0
49.084,-2.11,1.23,9.77,0,0
49.157,-3.15,1.54,10.31,0,0
49.236,-2.53,2.56,8.73,0,0
49.3,-2.6,2.87,7.97,0,0
49.363,-0.76,2.56,7.31,0,0
49.429,-0.5,1.76,8.88,0,0
49.493,-1.69,2.07,8.35,0,0
49.561,-1.57,3.06,7.12,0,0
49.631,-0.69,3.11,8.24,0,0
49.701,-0.69,2.68,8.66,0,0
49.771,-2.49,2.72,9.72,0,0
49.841,-2.83,3.11,8.5,0,0
49.906,-1.92,2.91,9,0,0
49.974,-1.38,2.76,8.47,0,0
50.042,-2.37,2.98,8.85,0,0
50.115,-3.64,3.53,9.7,0,0
50.178,-2.07,2.03,7.93,0,0
50.241,-1.33,2.6,7.08,0,0
50.311,0.5,0.89,7.97,0,0
50.382,-1.76,0.08,12.3,0,0
50.451,-1.33,1.38,8.81,0,0
50.525,-1.23,0.89,9.15,0,0
50.587,-1.12,0.89,9.04,0,0
50.65,-0.93,1.42,9.11,0,0
50.72,0.19,0.95,9.66,0,0
50.791,-0.34,0.99,8.73,0,0
50.879,-0.08,0.95,9.08,0,0
50.943,-0.15,0.95,9.38,0,0
51.011,-0.11,0.95,9.15,0,0
51.072,-0.08,0.93,9.15,0,0
51.135,-0.15,0.93,9.23,0,0
51.203,-0.15,1.04,9.23,0,0
51.271,-0.34,0.95,9.04,0,0
51.346,-1.31,0.19,9.19,0,0
51.413,2.11,1.42,9.58,0,0
51.481,1.53,0.89,10.69,0,0
51.552,3.21,1.92,9.49,0,0
51.617,2.37,1.42,8.85,0,0
51.682,1.04,3.21,6.89,0,0
51.746,-0.84,3.41,6.43,0,0
51.811,-2.3,3.91,6.66,0,0
51.884,-4.6,3.76,7.16,0,0
51.951,0.8,1.61,11.65,0,0
52.021,1.73,1.65,9.81,0,0
52.091,-0.27,2.53,8.43,0,0
52.162,0.27,3.99,8.92,0,0
52.231,0.72,3.17,6.82,0,0
52.301,1.8,5.01,8.27,0,0
52.371,0.89,4.56,7.21,0,0
52.442,1.65,4.21,8.47,0,0
52.516,0.91,5.05,8.31,0,0
52.581,0.08,4.67,9,0,0
52.648,-1.08,3.91,8.47,0,0
52.718,-2.6,3.41,8.24,0,0
52.783,-1.95,3.83,7.35,0,0
52.846,-1.54,5.13,7.4,0,0
52.91,-0.8,5.37,6.89,0,0
52.971,-0.34,5.52,7.35,0,0
53.043,-0.31,5.56,7.12,0,0
53.111,-0.34,6.05,6.74,0,0
53.181,0.04,5.48,7.7,0,0
53.251,0.08,5.41,7.7,0,0
53.323,0.27,5.13,7.7,0,0
53.392,0.5,5.18,7.63,0,0
53.458,0.19,4.99,8.88,0,0
53.524,0.69,5.18,7.82,0,0
53.591,-2.79,3.99,8.47,0,0
53.661,-1.95,4.9,7.82,0,0
53.729,-1.65,5.01,7.08,0,0
53.792,-1.04,5.52,6.74,0,0
53.861,-2.11,5.22,6.66,0,0
53.927,-2.11,4.94,8.12,0,0
53.992,-2.76,4.71,8.35,0,0
54.055,-3.11,4.4,7.63,0,0
54.121,-3.3,4.29,7.01,0,0
54.184,-3.87,4.29,7.93,0,0
54.251,-3.76,4.06,7.7,0,0
