time,x-axis,y-axis,z-axis,Speedbreaker,Pothole
989.131 , 0.89 , 2.34 , 8.47,0,0
989.201 , 0.61 , 2.5300000000000002 , 8.540000000000001,0,0
989.269 , 0.27 , 2.72 , 8.77,0,0
989.331 , 0.19 , 2.5300000000000002 , 8.69,0,0
989.4010000000001 , 0.42 , 2.3000000000000003 , 8.88,0,0
989.469 , 0.23 , 2.49 , 8.77,0,0
989.5310000000001 , 0.42 , 2.5300000000000002 , 8.540000000000001,0,0
989.601 , 0.42 , 2.45 , 8.77,0,0
989.6700000000001 , 0.3 , 2.41 , 8.96,0,0
989.738 , 0.3 , 2.5300000000000002 , 8.620000000000001,0,0
989.801 , 0.34 , 3.06 , 8.39,0,0
989.869 , 0.38 , 3.79 , 8.24,0,0
989.931 , 0.34 , 4.21 , 8.43,0,0
989.999 , 0.5 , 4.63 , 8.24,0,0
990.064 , 0.8 , 4.48 , 8.27,0,0
990.128 , 0.72 , 4.0200000000000005 , 8.31,0,0
990.189 , 0.34 , 4.0200000000000005 , 8.31,0,0
990.251 , -0.38 , 3.68 , 8.43,0,0
990.3190000000001 , -0.38 , 2.6 , 8.77,0,0
990.3820000000001 , -0.38 , 2.5300000000000002 , 8.81,0,0
990.445 , -0.23 , 2.45 , 8.77,0,0
990.511 , -0.34 , 3.3000000000000003 , 8.69,0,0
990.5790000000001 , -0.53 , 3.68 , 8.47,0,0
990.652 , -1.04 , 3.5300000000000002 , 8.69,0,0
990.72 , -0.8 , 3.41 , 8.81,0,0
990.788 , -0.23 , 2.79 , 8.69,0,0
990.852 , 0.38 , 2.49 , 8.85,0,0
990.921 , -0.11 , 2.3000000000000003 , 9.11,0,0
990.99 , -0.84 , 2.98 , 8.73,0,0
991.059 , -1.54 , 3.68 , 8.92,0,0
991.121 , -2.11 , 3.15 , 9.040000000000001,0,0
991.189 , -0.93 , 2.83 , 9.3,0,0
991.251 , -0.19 , 2.45 , 8.620000000000001,0,0
991.3190000000001 , 0.65 , 2.37 , 8.85,0,0
991.3820000000001 , 0.6900000000000001 , 2.72 , 8.88,0,0
991.45 , -0.23 , 3.02 , 8.73,0,0
991.518 , -0.5 , 3.02 , 8.43,0,0
991.581 , -0.31 , 2.83 , 9.38,0,0
991.645 , -0.93 , 3.17 , 9.11,0,0
991.711 , -1.6500000000000001 , 3.5300000000000002 , 9.38,0,0
991.7760000000001 , -1.46 , 3.45 , 8.24,0,0
991.841 , -0.53 , 3.21 , 9.0,0,0
991.909 , -0.34 , 2.96 , 8.58,0,0
991.972 , -0.72 , 2.37 , 8.540000000000001,0,0
992.042 , -0.46 , 2.2600000000000002 , 8.73,0,0
992.113 , -0.8 , 2.7600000000000002 , 9.23,0,0
992.1750000000001 , -0.72 , 2.7600000000000002 , 8.92,0,0
992.241 , -0.42 , 2.49 , 9.15,0,0
992.3100000000001 , -0.76 , 2.49 , 9.19,0,0
992.374 , -0.61 , 2.68 , 9.0,0,0
992.4350000000001 , -0.34 , 2.72 , 8.69,0,0
992.4970000000001 , -0.23 , 2.49 , 8.77,0,0
992.558 , 0.15 , 2.34 , 8.81,0,0
992.62 , 0.34 , 2.41 , 8.88,0,0
992.687 , 0.38 , 2.5300000000000002 , 8.73,0,0
992.751 , 0.72 , 3.34 , 8.540000000000001,0,0
992.8190000000001 , 0.65 , 3.87 , 8.27,0,0
992.881 , 0.99 , 3.91 , 8.35,0,0
992.9490000000001 , 1.04 , 3.79 , 8.27,0,0
993.011 , 0.91 , 4.0200000000000005 , 8.27,0,0
993.075 , 0.99 , 4.0200000000000005 , 8.31,0,0
993.1410000000001 , 1.23 , 4.33 , 8.16,0,0
993.2090000000001 , 1.6500000000000001 , 4.5200000000000005 , 8.27,0,0
993.273 , 1.6500000000000001 , 3.91 , 7.78,0,0
993.341 , 1.76 , 2.96 , 8.73,0,0
993.409 , 2.0300000000000002 , 2.45 , 8.58,0,0
993.472 , 2.07 , 3.21 , 7.78,0,0
993.541 , 2.18 , 4.21 , 8.120000000000001,0,0
993.611 , 0.9500000000000001 , 3.17 , 8.77,0,0
993.6700000000001 , 0.76 , 2.91 , 8.58,0,0
993.731 , 1.23 , 3.5300000000000002 , 8.47,0,0
993.798 , 0.99 , 3.95 , 8.01,0,0
993.861 , 0.23 , 3.3000000000000003 , 9.0,0,0
993.923 , -0.04 , 2.37 , 8.77,0,0
993.991 , 0.34 , 2.34 , 8.5,0,0
994.0600000000001 , 0.3 , 2.64 , 8.5,0,0
994.128 , 0.19 , 2.87 , 8.58,0,0
994.191 , -0.34 , 2.7600000000000002 , 9.040000000000001,0,0
994.259 , -0.15 , 2.7600000000000002 , 8.88,0,0
994.322 , -0.11 , 2.41 , 8.77,0,0
994.3910000000001 , 0.53 , 2.3000000000000003 , 8.540000000000001,0,0
994.452 , 0.23 , 2.18 , 9.15,0,0
994.514 , 0.0 , 2.18 , 8.96,0,0
994.576 , 0.08 , 1.8800000000000001 , 8.77,0,0
994.638 , 0.27 , 1.84 , 9.28,0,0
994.714 , -0.04 , 1.84 , 8.96,0,0
994.78 , 0.15 , 1.54 , 8.88,0,0
994.841 , 0.61 , 1.54 , 8.96,0,0
994.908 , 0.46 , 1.6500000000000001 , 8.73,0,0
994.971 , 0.53 , 1.73 , 8.92,0,0
995.039 , 0.53 , 1.8800000000000001 , 9.19,0,0
995.1080000000001 , 0.5700000000000001 , 1.6500000000000001 , 8.69,0,0
995.173 , 1.04 , 1.6500000000000001 , 9.19,0,0
995.237 , 0.99 , 1.54 , 9.11,0,0
995.301 , 1.04 , 1.42 , 9.15,0,0
995.371 , 0.99 , 1.54 , 8.66,0,0
995.441 , 1.18 , 2.56 , 9.3,0,0
995.509 , 0.9500000000000001 , 2.87 , 8.43,0,0
995.572 , 1.6500000000000001 , 2.11 , 8.43,0,0
995.64 , 1.8800000000000001 , 2.0300000000000002 , 9.28,0,0
995.708 , 1.5 , 2.15 , 9.77,0,0
995.772 , 1.3800000000000001 , 1.95 , 10.040000000000001,0,0
995.84 , 1.84 , 2.07 , 11.03,0,0
995.908 , 2.49 , 2.41 , 8.69,0,0
995.971 , 2.49 , 2.11 , 5.18,0,0
996.039 , 2.45 , 1.84 , 3.06,0,0
996.102 , 1.18 , 1.73 , 4.67,0,0
996.171 , -0.31 , 1.61 , 7.59,0,0
996.239 , -0.15 , 2.56 , 10.38,0,0
996.302 , 1.31 , 2.22 , 11.41,0,0
996.37 , 2.0300000000000002 , 2.07 , 12.950000000000001,0,0
996.441 , 1.53 , 2.18 , 12.790000000000001,0,0
996.5070000000001 , 1.99 , 2.45 , 10.88,1,0
996.57 , 1.42 , 1.73 , 7.16,1,0
996.643 , 1.08 , 0.84 , 5.05,1,0
996.72 , 1.1400000000000001 , 1.42 , 5.24,1,0
996.782 , 1.3800000000000001 , 3.21 , 5.86,1,0
996.844 , 2.64 , 4.4 , 7.44,1,0
996.908 , 4.37 , 4.48 , 10.040000000000001,1,0
996.972 , 3.49 , 3.7600000000000002 , 8.85,0,0
997.035 , 3.34 , 2.96 , 10.46,0,0
997.101 , 2.68 , 3.02 , 9.3,0,0
997.1700000000001 , 2.18 , 2.41 , 8.88,0,0
997.231 , 2.64 , 2.2600000000000002 , 8.540000000000001,0,0
997.301 , 3.3000000000000003 , 2.11 , 8.01,0,0
997.362 , 3.64 , 2.18 , 7.74,0,0
